id,latex,language,pronunciation
0,"{\mathcal R}_{\frac{1}{3},0,2} (M) \geq C_{\frac{1}{3},0,2} ^{rad} ,",eng,"""Our sub one-third, zero, two of M is greater than or equal to C sub one-third, zero, two to the power of rad."""
1,"{\mathcal R}_{\frac{1}{3},0,2} (M) \geq C_{\frac{1}{3},0,2} ^{rad} ,",eng,"""R sub one over three, zero, two of M is no less than C sub one over three, zero, two superscript rad."""
4,\lim_{N \to \infty} \dfrac{|(\Phi_N - t) \cap \Phi_N|}{|\Phi_N|} = 1,eng,"Limit as N approaches infinity of the absolute value of the intersection of (Phi subscript N minus t) with Phi subscript N, divided by the absolute value of Phi subscript N equals one"
5,\lim_{N \to \infty} \dfrac{|(\Phi_N - t) \cap \Phi_N|}{|\Phi_N|} = 1,eng,"Limit of N going to infinity, absolute value of the set difference Phi sub N minus t intersected with Phi sub N over absolute value of Phi sub N equals one"
8,"\langle E_{\lambda}(x,q,0),E_{\mu}(x^{-1},q^{-1},\infty) \rangle_0=(q)_\lambda\delta_{\lambda,\mu},",eng,Bracket e sub lambda of x comma q comma zero comma e sub mu of x inverse comma q inverse comma infinity close bracket sub zero equals q sub lambda delta sub lambda mu comma
9,"\langle E_{\lambda}(x,q,0),E_{\mu}(x^{-1},q^{-1},\infty) \rangle_0=(q)_\lambda\delta_{\lambda,\mu},",eng,"Left angle bracket, E lambda of x, q, zero, comma E mu of x to the negative one, q to the negative one, infinity, right angle bracket zero equals parenthesis q parenthesis lambda delta lambda mu."
12," \varphi _{1} (s,t_{0} )=0,",eng,"Phi one of s, t naught equals zero."
13," \varphi _{1} (s,t_{0} )=0,",eng,Phi sub one at s and t-zero is zero.
16," Y_{i,n} (u)= \frac{f(X_{i,n}, G_n(u)) - f(X_{i,n}, G_n(0)) }{ f(X_{i,n}, G_n(0))}.",eng,Why subscript i comma n of u equals the fraction of f of X subscript i comma n comma big G subscript n of u minus f of X subscript i comma n comma big G subscript n of zero all divided by f of X subscript i comma n comma big G subscript n of zero.
17," Y_{i,n} (u)= \frac{f(X_{i,n}, G_n(u)) - f(X_{i,n}, G_n(0)) }{ f(X_{i,n}, G_n(0))}.",eng,"Y i n as a function of u equals the difference between f of X i n and G n of u minus f of X i n and G n of 0, divided by f of X i n and G n of 0."
20,J=-\mu(u)\nabla v,eng,Jay equals negative mu of u times del v
21,J=-\mu(u)\nabla v,eng,Jay is equal to the negative of mu of u times gradient v
24,"F_t = \frac{1}{2} (F_{\mu \nu} + {\cal A}_{\mu \nu}) dx^{\mu}dx^{\nu},",eng,F sub t equals one half open bracket F sub mu nu plus script A sub mu nu close bracket d x superscript mu d x superscript nu.
25,"F_t = \frac{1}{2} (F_{\mu \nu} + {\cal A}_{\mu \nu}) dx^{\mu}dx^{\nu},",eng,"F t equals one over two times the sum of F mu nu and calligraphic A mu nu, all multiplied by d x to the mu d x to the nu."
28,"-\det(\eta+gF)=1-g^2\sum_{j=1}^3(E_j^2-B_j^2)-g^4(\sum_{j=1}^3E_jB_j)^2,",eng,Minus det of eta plus gF equals one minus g squared times the sum from j equals one to three of E sub j squared minus B sub j squared minus g to the fourth times the square of the sum from j equals one to three of E sub j B sub j.
29,"-\det(\eta+gF)=1-g^2\sum_{j=1}^3(E_j^2-B_j^2)-g^4(\sum_{j=1}^3E_jB_j)^2,",eng,Negative determinant of eta plus gF equals one minus g squared times sum from j equals one to three of E j squared minus B j squared minus g to the fourth power times the square of sum from j equals one to three of E j B j.
32,m = \hbox{const.}\ \Delta^{-\gamma/\pi}\ .,eng,"m equals constant, delta raised to the negative gamma over pi power."
33,m = \hbox{const.}\ \Delta^{-\gamma/\pi}\ .,eng,m is constant times delta to the power of negative gamma divided by pi.
36, [n] = \hat h [n] \hat h^{-1},eng,1. Bracket N equals hat H bracket N hat H to the power of negative one.
37, [n] = \hat h [n] \hat h^{-1},eng,2. N in brackets is equal to H-hat N in brackets H-hat inverse.
40,\hat{g}(n) = \sum_{j=0}^{k-1} e^{-2\pi i(n-jM)j/(kz)} \hat{f}(n-jM).,eng,"g-hat of n equals the sum from j equals zero to k minus one, of e raised to the power of negative two pi i times the quantity n minus jM times j over kz times f-hat of n minus jM."
41,\hat{g}(n) = \sum_{j=0}^{k-1} e^{-2\pi i(n-jM)j/(kz)} \hat{f}(n-jM).,eng,hat g of n equals summation over j from zero to k minus one of e to the negative two pi i times open parentheses n subtract jM closed parentheses j divided by kz times hat f of n minus jM.
44,\theta_{t}^{\ast}=\sup_{0\leq u\leq t}L(X_{u}) ,eng,theta t star equals supremum for zero less than or equal to u less than or equal to t of L of X sub u
45,\theta_{t}^{\ast}=\sup_{0\leq u\leq t}L(X_{u}) ,eng,theta sub t asterisk is the supremum from zero to t of L evaluated at X sub u
48,"a_1b_3=0,a_2b_3=0,a_2b_1=0,a_3b_1=0,a_3b_2=0",eng,"a one b three equals zero, a two b three equals zero, a two b one equals zero, a three b one equals zero, a three b two equals zero."
49,"a_1b_3=0,a_2b_3=0,a_2b_1=0,a_3b_1=0,a_3b_2=0",eng,"a sub one b sub three equals zero, a sub two b sub three equals zero, a sub two b sub one equals zero, a sub three b sub one equals zero, a sub three b sub two equals zero."
52,"\mathcal{A}=\{F_{\alpha}(x,n,[u])=0\}",eng,"The set A is equal to the collection of functions, F sub alpha, of x, n, and u, such that it equals zero."
53,"\mathcal{A}=\{F_{\alpha}(x,n,[u])=0\}",eng,"Caligraphic A is the set comprised of all F alpha functions of x, n, and the bracket u, which simplifies to zero."
56,H(X|Y) \geq \sum_{i=1}^{k} G(d_k(i)),eng,H of X given Y is greater than or equal to the sum from i equals 1 to k of G of d k of i.
57,H(X|Y) \geq \sum_{i=1}^{k} G(d_k(i)),eng,H of X given Y greater than or equal to the summation from i equal 1 to k of G of d sub k of i.
60,"p=-\tfrac{1}{2}\,\langle \beta,A^TA''\beta\rangle=-\tfrac{1}{2}\,\langle x,A''A^{-1}x\rangle\ .",eng,"p equals minus one half, angle bracket beta comma A transpose A double prime beta, close angle bracket equals minus one half, angle bracket x comma A double prime A inverse x, close angle bracket."
61,"p=-\tfrac{1}{2}\,\langle \beta,A^TA''\beta\rangle=-\tfrac{1}{2}\,\langle x,A''A^{-1}x\rangle\ .",eng,"p is negative one-half times the inner product of beta and A transpose A double prime beta, equals negative one-half times the inner product of x and A double prime A inverse x."
64,"\int_K\langle x,\theta\rangle^2dx =L_K^2",eng,The integral over K of the product of x and theta squared dx equals L sub K squared.
65,"\int_K\langle x,\theta\rangle^2dx =L_K^2",eng,"Integral over region K of the square of the inner product of x and theta, with respect to x, equals L K squared."
68,"\tau=\sqrt{2}\log(1+\sqrt{2}),\;\;\;HX^0_-=-\infty,",eng,"tau equals square root of two times the logarithm of one plus square root of two, semicolon, HX superscript zero subscript minus equals negative infinity."
69,"\tau=\sqrt{2}\log(1+\sqrt{2}),\;\;\;HX^0_-=-\infty,",eng,"tau is equal to the square root of two, multiplied by the logarithm of one plus the square root of two, semicolon, HX superscript zero sub minus equals minus infinity."
72,"\alpha([X,Z]_\mathfrak{m},X)+\alpha(X,X)^{1/2}\alpha([X,Z]_\mathfrak{m},u)=0.",eng,Alpha of the commutator X Z in mathfrak m with X plus the square root of alpha of X with itself times alpha of the commutator X Z in mathfrak m with u equals zero.
73,"\alpha([X,Z]_\mathfrak{m},X)+\alpha(X,X)^{1/2}\alpha([X,Z]_\mathfrak{m},u)=0.",eng,"Alpha applied to the bracket of X, Z sub m and X plus the square root of alpha applied to X, X times alpha of the bracket of X, Z sub m and u equals zero."
76,"v'^{\mu} = v^{\mu} - 2 \ \frac{(w \cdot v) \,w^{\mu}}{(w \cdot w)} \, .",eng,v prime mu equals v mu minus two times the fraction of the dot product of w and v times w mu over the dot product of w with itself.
77,"v'^{\mu} = v^{\mu} - 2 \ \frac{(w \cdot v) \,w^{\mu}}{(w \cdot w)} \, .",eng,v dash mu is equal to v mu subtract two multiplied by the division of w dot v times w mu by w dot w.
80,"H_{J}:=(X_{k}, k\in J)\subset \mathbb{R}^{N}.",eng,H sub J colon equals open parenthesis X sub k comma k in J close parenthesis is a subset of bold R superscript N period
81,"H_{J}:=(X_{k}, k\in J)\subset \mathbb{R}^{N}.",eng,H sub J defined as left parenthesis X sub k comma k within the set J right parenthesis belongs to the subset of R raised to the power of N
84,"{\sum}_{i=1}^r[Z_j,\bar{Z}_j]=\bar{L}_0-{L}_0 ",eng,"The sum from i equals one to r of open bracket Z sub j, bar Z sub j close bracket equals bar L naught minus L naught."
85,"{\sum}_{i=1}^r[Z_j,\bar{Z}_j]=\bar{L}_0-{L}_0 ",eng,"Summing from i equals one to r of Z j, bar Z j in brackets equals barred L zero minus L zero."
88," C^y_{g_1}x_{g_1} = C_1x_1 = C_{a_2}x_{a_2} = C^u_{g_2}x_{g_2}, ",eng,C to the power of y sub g one x sub g one equals C sub one x sub one equals C sub a two x sub a two equals C to the power of u sub g two x sub g two
89," C^y_{g_1}x_{g_1} = C_1x_1 = C_{a_2}x_{a_2} = C^u_{g_2}x_{g_2}, ",eng,C raised to y indexed by g one times x indexed by g one is equal to C indexed by one times x indexed by one which equals C indexed by a two times x indexed by a two equals C raised to u and indexed by g two times x indexed by g two
92," \eta &= G_1 * f_2 + G_2 * f_2, \eta_X = G_1' * f_2 + G_2' * f_2.",eng,"eta equals G sub one multiplied by f sub two plus G sub two multiplied by f sub two, eta sub X equals G prime sub one multiplied by f sub two plus G prime sub two multiplied by f sub two."
93," \eta &= G_1 * f_2 + G_2 * f_2, \eta_X = G_1' * f_2 + G_2' * f_2.",eng,"eta is equal to G one times f two plus G two times f two, and eta X is equal to G one prime times f two, plus G two prime times f two."
96, \sum_{i=0}^n i^m \lambda^i = \Theta(n^m \lambda^n).,eng,Summation from i equals zero to n of i raised to the power of m times lambda raised to the power of i equals big theta of n raised to the power of m times lambda raised to the power of n.
97, \sum_{i=0}^n i^m \lambda^i = \Theta(n^m \lambda^n).,eng,Sigma from i equals zero to n of i to the m lambda to the i equals theta of n to the m lambda to the n.
100,"p \rightarrow {\textstyle\frac{1}{\sqrt{4\pi}}} (p\cdot v)^{i\nu-1}, \,\,\,\, v= (1,0,0,0),",eng,"""p implies one over the square root of four pi times p dot v to the power of i nu minus one, where v equals one comma zero comma zero comma zero"""
101,"p \rightarrow {\textstyle\frac{1}{\sqrt{4\pi}}} (p\cdot v)^{i\nu-1}, \,\,\,\, v= (1,0,0,0),",eng,"""p goes to one divided by the square root of four pi times the quantity of p times v raised to the i nu minus one exponent, v is one comma zero comma zero comma zero"""
104,\mathrm{span}\left\{ p\in\mathcal{P}\mid p\deg\geq2p(1)=p^{\prime}(1)=0\right\},eng,"Span of all polynomials p in set P such that degree of p is greater than or equal to two, p of one equals zero, and the derivative of p at one equals zero."
105,\mathrm{span}\left\{ p\in\mathcal{P}\mid p\deg\geq2p(1)=p^{\prime}(1)=0\right\},eng,"Span of the set of polynomials p from P, where p has a degree greater than or equal to two, p evaluated at one is zero, and p prime at one is zero."
108,"\delta X^\mu =\bar{\epsilon}\psi^\mu = i\epsilon_+\psi_- ^\mu-i\epsilon_-\psi_+ ^\mu ,",eng,Delta X mu equals bar epsilon psi mu equals i epsilon plus psi minus mu minus i epsilon minus psi plus mu
109,"\delta X^\mu =\bar{\epsilon}\psi^\mu = i\epsilon_+\psi_- ^\mu-i\epsilon_-\psi_+ ^\mu ,",eng,Delta Eks mu equals bar epsilon sai mu equals i epsilon plus sai minus mu minus i epsilon minus sai plus mu
112,"B_- &= \{ x\in X : d(x,X\setminus B ) > \eta \} , \\A_+ &= \{ x\in X : d(x,A) \leq \eta \}",eng,1. Bee subscript negative and equals the set of all x in X such that d of x and the complement of B with respect to X is greater than eta. A subscript positive and equals the set of all x in X such that d of x and A is lesser than or equal to eta.
113,"B_- &= \{ x\in X : d(x,X\setminus B ) > \eta \} , \\A_+ &= \{ x\in X : d(x,A) \leq \eta \}",eng,"2. B sub minus equals the set of points x in the set X, where the distance function d from x to the set difference of B within X exceeds eta. A sub plus equals the set of points x in X, whereby the distance function from x to set A is not greater than eta."
116,"w^TM_{h} = 0,",eng,w upper T M sub h equals zero
117,"w^TM_{h} = 0,",eng,w transpose M sub h is zero
120,U=\exp{i \int\limits_{X_0}^{X} d_1(X)dX}. ,eng,1. U equals the exponential of i times the integral from X sub zero to X of d one of X with respect to X.
121,U=\exp{i \int\limits_{X_0}^{X} d_1(X)dX}. ,eng,"2. U is the exponential function of i integrated from X zero to X, d one of X, d X."
124,"\mathcal{F}_{t,t_o}^*\mathbf{d}\Theta_t=\mathbf{d}\Theta_{t_o}.",eng,Eff sub tee comma tee naught star dee theta tee equals dee theta tee naught.
125,"\mathcal{F}_{t,t_o}^*\mathbf{d}\Theta_t=\mathbf{d}\Theta_{t_o}.",eng,"F sub t, t zero star d theta t equals d theta t zero."
128,"\int_{E}(u-h)\,d\nu=0.",eng,The integral over set E of open parenthesis u minus h close parenthesis with respect to nu equals zero.
129,"\int_{E}(u-h)\,d\nu=0.",eng,"Integrating from set E, the difference between u and h with respect to the measure nu is equal to zero."
132,"\tilde{f}_2 = \Phi(x - z_2, x - z_2)",eng,tilde f sub 2 equals phi of x minus z sub two comma x minus z sub two
133,"\tilde{f}_2 = \Phi(x - z_2, x - z_2)",eng,tilde f 2 is equal to phi of the quantity x minus z 2 and x minus z 2
136," f[x_0,\cdots, x_n]=\frac{f^{(n)}(\xi)}{n!} \textrm{ for some } \xi\in[x_0,\cdots, x_n],",eng,"1. f of x sub-zero through x sub-n equals the n-th derivative of f at xi divided by n factorial, for some xi within x sub-zero through x sub-n."
137," f[x_0,\cdots, x_n]=\frac{f^{(n)}(\xi)}{n!} \textrm{ for some } \xi\in[x_0,\cdots, x_n],",eng,"2. f evaluated at x-sub-zero to x-sub-n is equal to the derivative of order n of f evaluated at xi over n factorial, for a certain xi within x-sub-zero to x-sub-n."
140,"\sum_{j=1}^{i} \frac{2^{2c_j}-1}{h_j}\leq \sum_{j=1}^{i} E_j, i=1,...,N.",eng,"Summation from j equals one to i of the fraction two raised to the power of two c sub j minus one, all over h sub j, is less than or equal to the summation from j equals one to i of E sub j, for all i equal to one, up to N."
141,"\sum_{j=1}^{i} \frac{2^{2c_j}-1}{h_j}\leq \sum_{j=1}^{i} E_j, i=1,...,N.",eng,"The sum from j equals one to i of the fraction of two to the power of two times c j minus one, divided by h j, is less than or equal to the sum from j equals one to i of E j, for i from one through N."
144,H_{can}=P^{M}\dot{X}_{M}+\Pi^{(U) ab}\dot{U}_{ab}-L ,eng,H sub can equals P superscript M dot X sub M plus Π superscript open parentheses U close parentheses a b dot U sub a b minus L
145,H_{can}=P^{M}\dot{X}_{M}+\Pi^{(U) ab}\dot{U}_{ab}-L ,eng,H can equals P to the power of M times the derivative of X with respect to M plus Π with superscript U for indices a b times the derivative of U with respect to indices a b minus L
148,"v=(1-\psi)\widetilde u +B[\widetilde u\cdot\nabla\psi],q=(1-\psi)\widetilde p.",eng,"v equals open parenthesis one minus psi close parenthesis times u tilde, plus B times the gradient of psi dot u tilde, comma, q equals open parenthesis one minus psi close parenthesis times p tilde."
149,"v=(1-\psi)\widetilde u +B[\widetilde u\cdot\nabla\psi],q=(1-\psi)\widetilde p.",eng,"v equals one minus psi in brackets times u tilde plus B in square brackets times u tilde dot nabla psi, comma, q equals open parenthesis one minus psi close parenthesis times p tilde."
152,-y^2 + (x-a_2)^2 \big(x^3 + 2a_2 x^2 + \mu_4 x + \mu_6\big) = 0.,eng,Negative y squared plus open parenthesis x minus a sub two closed parenthesis squared times open parenthesis x cubed plus two a sub two x squared plus mu sub four x plus mu sub six closed parenthesis equals zero.
153,-y^2 + (x-a_2)^2 \big(x^3 + 2a_2 x^2 + \mu_4 x + \mu_6\big) = 0.,eng,Minus y to the power of two plus left bracket x minus a sub two right bracket squared multiplied by left bracket x to the power of three plus two a sub two x to the power of two plus mu sub four x plus mu sub six right bracket equals zero.
156,(\sigma_-)_{2j} = (-1)^j(\sigma_+)_{2j},eng,sigma minus sub 2j equals negative one to the power of j times sigma plus sub 2j
157,(\sigma_-)_{2j} = (-1)^j(\sigma_+)_{2j},eng,sigma minus subscript 2j equals negative one to the jth power times sigma plus subscript 2j
160,"\{\,u\in C^r(L_{\pm1};\Omega^{-1}NL_{\pm1})\mid\check\sigma^*u=\pm u\,\}\;.",eng,u belongs to C superscript r of L subscript plus-minus 1 semicolon omega to the power of negative 1 N L subscript plus-minus 1 such that check sigma star u equals plus or minus u
161,"\{\,u\in C^r(L_{\pm1};\Omega^{-1}NL_{\pm1})\mid\check\sigma^*u=\pm u\,\}\;.",eng,members of function space C raised to the power r from L subscript plus-minus 1; omega raised to negative 1 of N L subscript plus-minus 1 where check sigma star u equals plus or minus u
164,r = \Theta\left(\frac{\log n}{p}\right)\qquad(1-p)^r = \Theta\left(\frac{\log^2 n}{pn}\right).,eng,r equals Big Theta of open parenthesis the logarithm of n divided by p close parenthesis; open parenthesis one minus p close parenthesis raised to the power of r equals Big Theta of open parenthesis the logarithm squared of n divided by p times n close parenthesis.
165,r = \Theta\left(\frac{\log n}{p}\right)\qquad(1-p)^r = \Theta\left(\frac{\log^2 n}{pn}\right).,eng,r is Big Theta of the fraction logarithm of n over p; the quantity one minus p to the power of r is Big Theta of the fraction squared logarithm of n over the product of p and n.
168,\delta \zeta _{D_{k}}(s)=s\mbox {Tr}(D^{-s}\delta k),eng,delta zeta sub D k of s equals s times trace of D to the power of negative s times delta k.
169,\delta \zeta _{D_{k}}(s)=s\mbox {Tr}(D^{-s}\delta k),eng,delta zeta subscript D sub k of s is s multiplied by the trace of D raised to the minus s times delta k.
172,"x \to y := \min\{z*y\colon z \in I(x,y) \cap [y)\};",eng,"x goes to y is defined as the minimum of z times y for z in the intersection of I(x, y) and all numbers greater than or equal to y."
173,"x \to y := \min\{z*y\colon z \in I(x,y) \cap [y)\};",eng,x approaches y equates to the smallest value of z multiplied by y where z is an element of the intersection of I of x and y with numbers at least y.
176,\Gamma = q^{-\sum_a \gamma(ta)\gamma(ha)},eng,Gamma equals q raised to the power of negative the sum of gamma of ta and gamma of ha.
177,\Gamma = q^{-\sum_a \gamma(ta)\gamma(ha)},eng,Gamma equals q to the power of the negative sum of gamma of ta gamma of ha.
180,"f(x) := \sum_{k < j} a_{jk} x_j x_k + \sum _{l<n} b_l (1 - n x_l^2)=0,",eng,f of x is defined by the sum over k less than j of a sub j k times x sub j times x sub k plus the sum over l less than n of b sub l times (one minus n times x sub l squared) equals zero.
181,"f(x) := \sum_{k < j} a_{jk} x_j x_k + \sum _{l<n} b_l (1 - n x_l^2)=0,",eng,"f of x defined as the sum for all k less than j, of a sub j k, multiplied by x sub j times x sub k, plus the sum for all l less than n, of b sub l time (one minus n times x sub l squared), equates to zero."
184,(H-\epsilon)\frac{\partial_\epsilon ^3 u}{3}=\partial_\epsilon^2 u.,eng,H minus epsilon times partial cube of u with respect to epsilon over three equals partial square of u with respect to epsilon.
185,(H-\epsilon)\frac{\partial_\epsilon ^3 u}{3}=\partial_\epsilon^2 u.,eng,H minus epsilon into the third partial derivative of u in terms of epsilon by three is equal to the second partial derivative of u in terms of epsilon.
188,\lambda \sim R^4/(\alpha')^2 = 1/\alpha^2.,eng,Lambda is approximately equal to R to the power four over alpha prime square equals one over alpha square.
189,\lambda \sim R^4/(\alpha')^2 = 1/\alpha^2.,eng,"Lambda asymptotically equals R raised to the fourth divided by alpha prime squared, which is equal to the reciprocal of alpha squared."
192,"I_{f,\phi}=\int f_{\phi}(\phi(y))d\phi(y)=\int f_{y}(\phi(y))d\phi(y).",eng,I sub f comma phi equals the integral of f sub phi of phi of y d phi of y equals the integral of f sub y of phi of y d phi of y.
193,"I_{f,\phi}=\int f_{\phi}(\phi(y))d\phi(y)=\int f_{y}(\phi(y))d\phi(y).",eng,"I f, phi equals integral f phi of function phi y d phi of y equals integral f y, phi of function y d phi of y."
196,"\bar{\partial}\sigma_i=\bar{\partial}v_i, ~{\rm in}~ M_{i}, ",eng,"bar partial sigma i equals bar partial v i, in M i"
